,basic_date,stockname,close_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,ud_3d
0,20170116,에듀파트너,891,,,,,,0
1,20170117,에듀파트너,891,0.0,0.0,,,,0
2,20170118,에듀파트너,892,1.0,0.1122,891.3333333333334,,1.122334455667789,0
3,20170119,에듀파트너,901,9.0,1.009,894.6666666666666,,-12.457912457912458,0
4,20170120,에듀파트너,780,-121.0,-13.4295,857.6666666666666,,-12.443946188340806,0
5,20170123,에듀파트너,781,1.0,0.1282,820.6666666666666,,-13.318534961154274,0
6,20170124,에듀파트너,781,0.0,0.0,780.6666666666666,-4.913892078071178,15.128205128205128,0
7,20170125,에듀파트너,898,117.0,14.9808,820.0,0.5889281507656066,31.88220230473752,0
8,20170126,에듀파트너,1030,132.0,14.6993,903.0,12.93833131801693,51.08834827144686,1
9,20170131,에듀파트너,1180,150.0,14.5631,1036.0,18.184013523303538,11.915367483296215,0
10,20170201,에듀파트너,1005,-175.0,-14.8305,1071.6666666666667,19.156908665105387,-5.339805825242718,0
11,20170202,에듀파트너,975,-30.0,-2.9851,1053.3333333333333,13.704496788008566,-5.084745762711865,0
12,20170203,에듀파트너,1120,145.0,14.8718,1033.3333333333333,13.710666121781777,27.860696517412936,0
13,20170206,에듀파트너,1285,165.0,14.7321,1126.6666666666667,15.172955974842765,51.28205128205128,1
14,20170207,에듀파트너,1475,190.0,14.786,1293.3333333333333,23.35216572504708,51.33928571428571,1
15,20170208,에듀파트너,1695,220.0,14.9153,1485.0,29.73944294699012,28.01556420233463,0
16,20170209,에듀파트너,1645,-50.0,-2.9499,1605.0,28.071672354948806,-4.745762711864407,0
17,20170210,에듀파트너,1405,-240.0,-14.5897,1581.6666666666667,13.206106870229007,-29.49852507374631,-1
18,20170213,에듀파트너,1195,-210.0,-14.9466,1415.0,-3.5318559556786706,-37.68996960486322,-1
19,20170214,에듀파트너,1025,-170.0,-14.2259,1208.3333333333333,-14.123917388407728,-16.370106761565836,0
20,20170215,에듀파트너,1175,150.0,14.6341,1131.6666666666667,-21.780175320296696,-16.317991631799163,0
21,20170216,에듀파트너,1000,-175.0,-14.8936,1066.6666666666667,-24.680545585068195,-16.975609756097562,0
22,20170217,에듀파트너,851,-149.0,-14.9,1008.6666666666666,-24.313421256788207,-29.617021276595747,-1
23,20170220,에듀파트너,827,-24.0,-2.8202,892.6666666666666,-21.379310344827587,-29.299999999999997,-1
24,20170221,에듀파트너,707,-120.0,-14.5103,795.0,-19.97712542889821,-4.465334900117509,0
25,20170222,에듀파트너,813,106.0,14.9929,782.3333333333334,-20.233702337023367,-16.203143893591292,0
26,20170223,에듀파트너,693,-120.0,-14.7601,737.6666666666666,-18.574561403508767,-4.809052333804809,0
27,20170224,에듀파트너,673,-20.0,-2.886,726.3333333333334,-17.579799904716534,-29.397293972939732,-1
28,20170227,에듀파트너,574,-99.0,-14.7103,646.6666666666666,-12.284759701876126,-4.761904761904762,0
29,20170228,에듀파트너,660,86.0,14.9826,635.6666666666666,-14.866684621599783,-16.64190193164933,0
30,20170302,에듀파트너,561,-99.0,-15.0,598.3333333333334,-12.398843930635833,-1.9163763066202089,0
31,20170303,에듀파트너,563,2.0,0.3565,594.6666666666666,-14.386170524465285,-14.545454545454545,0
32,20170306,에듀파트너,564,1.0,0.1776,562.6666666666666,-7.877254033533703,0.53475935828877,0
33,20170307,에듀파트너,564,0.0,0.0,563.6666666666666,-9.83173870009898,-14.564831261101244,0
34,20170308,에듀파트너,481,-83.0,-14.7163,536.3333333333334,-6.741957563312797,-1.950354609929078,0
35,20170309,에듀파트너,553,72.0,14.9688,532.6666666666666,-7.314560439560444,-4.787234042553192,0
36,20170310,에듀파트너,537,-16.0,-2.8933,523.6666666666666,-5.122575923893157,-4.781704781704782,0
37,20170313,에듀파트너,458,-79.0,-14.7114,516.0,-6.238532110091743,-4.882459312839059,0
38,20170314,에듀파트너,526,68.0,14.8472,507.0,-3.2975175991107735,-0.186219739292365,0
39,20170315,에듀파트너,536,10.0,1.9011,506.6666666666667,-0.5784805244890089,13.755458515283841,0
40,20170316,에듀파트너,521,-15.0,-2.7985,527.6666666666666,0.8610567514677059,1.9011406844106464,0
41,20170317,에듀파트너,536,15.0,2.8791,531.0,0.9578544061302682,-3.731343283582089,0
42,20170320,에듀파트너,516,-20.0,-3.7313,524.3333333333334,1.823118696664076,-0.9596928982725527,0
43,20170321,에듀파트너,516,0.0,0.0,522.6666666666666,-1.862630966239807,-17.91044776119403,0
44,20170322,에듀파트너,440,-76.0,-14.7287,490.6666666666667,-4.592030360531307,-1.937984496124031,0
45,20170323,에듀파트너,506,66.0,15.0,487.3333333333333,-8.190476190476192,-16.27906976744186,0
46,20170324,에듀파트너,432,-74.0,-14.6245,459.3333333333333,-5.4962435745353915,12.727272727272727,0
47,20170327,에듀파트너,496,64.0,14.8148,478.0,-2.7844073190135243,12.648221343873518,0
48,20170328,에듀파트너,570,74.0,14.9194,499.3333333333333,6.804979253112024,31.944444444444443,0
49,20170329,에듀파트너,570,0.0,0.0,545.3333333333334,10.376569037656909,14.919354838709678,0
50,20170330,에듀파트너,570,0.0,0.0,570.0,17.06219312602292,14.912280701754385,0
51,20170331,에듀파트너,655,85.0,14.9123,598.3333333333334,17.327117327117335,14.912280701754385,0
52,20170403,에듀파트너,655,0.0,0.0,626.6666666666666,21.417740712661107,32.10526315789474,0
53,20170404,에듀파트너,753,98.0,14.9618,687.6666666666666,20.90178259349876,26.106870229007633,0
54,20170405,에듀파트너,826,73.0,9.6946,744.6666666666666,23.013245033112582,26.106870229007633,0
55,20170406,에듀파트너,826,0.0,0.0,801.6666666666666,24.789260068685596,24.43559096945551,0
56,20170407,에듀파트너,937,111.0,13.4383,863.0,24.457935819601047,16.585956416464892,0
57,20170410,에듀파트너,963,26.0,2.7748,908.6666666666666,17.658142664872145,-0.847457627118644,0
58,20170411,에듀파트너,819,-144.0,-14.9533,906.3333333333334,6.129597197898424,-25.613660618996796,0
59,20170412,에듀파트너,697,-122.0,-14.8962,826.3333333333334,-4.459930313588847,-27.62201453790239,0
60,20170413,에듀파트너,697,0.0,0.0,737.6666666666666,-10.0663463738275,-7.814407814407814,0
61,20170414,에듀파트너,755,58.0,8.3214,716.3333333333334,-9.594530881659592,24.390243902439025,0
62,20170417,에듀파트너,867,112.0,14.8344,773.0,-2.4799416484317987,42.75466284074606,1
63,20170418,에듀파트너,995,128.0,14.7636,872.3333333333334,9.66675146273213,32.05298013245033,1
64,20170419,에듀파트너,997,2.0,0.201,953.0,20.96479791395045,18.223760092272205,1
65,20170420,에듀파트너,1025,28.0,2.8084,1005.6666666666666,22.51308900523559,3.5175879396984926,1
66,20170421,에듀파트너,1030,5.0,0.4878,1017.3333333333334,17.188587334725113,0.802407221664995,0
67,20170424,에듀파트너,1005,-25.0,-2.4272,1020.0,9.657253718473811,0.4878048780487805,0
68,20170425,에듀파트너,1030,25.0,2.4876,1021.6666666666666,4.293854293854299,0.48543689320388345,0
69,20170426,에듀파트너,1035,5.0,0.4854,1023.3333333333334,2.2367379255740323,5.970149253731343,1
70,20170427,에듀파트너,1065,30.0,2.8986,1043.3333333333333,1.238450953410657,-1.4563106796116505,0
71,20170428,에듀파트너,1015,-50.0,-4.6948,1038.3333333333333,1.170731707317073,0.4830917874396135,0
72,20170502,에듀파트너,1040,25.0,2.4631,1040.0,0.48402710551790895,-2.8169014084507045,0
73,20170504,에듀파트너,1035,-5.0,-0.4808,1030.0,0.1941747572815534,-0.9852216748768473,0
74,20170508,에듀파트너,1005,-30.0,-2.8986,1026.6666666666667,-1.1571841851494697,-0.9615384615384616,0
75,20170510,에듀파트너,1030,25.0,2.4876,1023.3333333333334,-1.1560693641618496,-1.4492753623188406,0
76,20170511,에듀파트너,1020,-10.0,-0.9709,1018.3333333333334,-1.53100775193798,-1.3930348258706469,0
77,20170512,에듀파트너,991,-29.0,-2.8431,1013.6666666666666,-2.2634146341463457,-6.5048543689320395,-1
78,20170515,에듀파트너,963,-28.0,-2.8254,991.3333333333334,-0.4093567251462033,8.333333333333332,0
79,20170516,에듀파트너,1105,142.0,14.7456,1019.6666666666666,5.274552253493398,28.15338042381433,0
80,20170517,에듀파트너,1270,165.0,14.9321,1112.6666666666667,12.377720103813136,34.994807892004154,1
81,20170518,에듀파트너,1300,30.0,2.3622,1225.0,15.541201800743782,14.479638009049776,0
82,20170519,에듀파트너,1265,-35.0,-2.6923,1278.3333333333333,19.46158160403814,14.173228346456693,0
83,20170522,에듀파트너,1450,185.0,14.6245,1338.3333333333333,23.290104814354244,27.307692307692307,0
84,20170523,에듀파트너,1655,205.0,14.1379,1456.6666666666667,27.223445705573447,45.45454545454545,1
85,20170524,에듀파트너,1840,185.0,11.1782,1648.3333333333333,30.28169014084507,45.86206896551724,1
86,20170525,에듀파트너,2115,275.0,14.9457,1870.0,32.13256484149856,27.492447129909365,0
87,20170526,에듀파트너,2110,-5.0,-0.2364,2021.6666666666667,30.02663115845539,11.141304347826086,0
88,20170529,에듀파트너,2045,-65.0,-3.0806,2090.0,22.642642642642645,-0.7092198581560284,0
89,20170530,에듀파트너,2100,55.0,2.6895,2085.0,13.522355507088331,-3.3175355450236967,0
90,20170531,에듀파트너,2040,-60.0,-2.8571,2061.6666666666665,6.451612903225806,2.689486552567237,0
91,20170601,에듀파트너,2100,60.0,2.9412,2080.0,1.1263467189030363,-2.857142857142857,0
92,20170602,에듀파트너,2040,-60.0,-2.8571,2060.0,-0.2881844380403458,2.941176470588235,0
93,20170605,에듀파트너,2100,60.0,2.9412,2080.0,0.4329004329004329,2.857142857142857,0
94,20170607,에듀파트너,2160,60.0,2.8571,2100.0,2.8087167070217918,8.57843137254902,1
