,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,ud_3d
56,20170407,에듀파트너,937,2,111.0,13.4383,863.0,22.023276633840645,16.585956416464892,1.0,0
57,20170410,에듀파트너,963,1100,26.0,2.7748,908.6666666666666,13.056133056133065,-0.847457627118644,1098.0,0
58,20170411,에듀파트너,819,1,-144.0,-14.9533,906.3333333333334,-4.2487446890691345,-25.613660618996796,-1099.0,0
59,20170412,에듀파트너,697,1,-122.0,-14.8962,826.3333333333334,-18.818782098312546,-27.62201453790239,0.0,0
60,20170413,에듀파트너,697,1,0.0,0.0,737.6666666666666,-20.96358955498345,-7.814407814407814,0.0,0
61,20170414,에듀파트너,755,1,58.0,8.3214,716.3333333333334,-6.4542154094392945,24.390243902439025,0.0,0
62,20170417,에듀파트너,867,3,112.0,14.8344,773.0,18.255761409850894,42.75466284074606,2.0,1
63,20170418,에듀파트너,995,2,128.0,14.7636,872.3333333333334,33.038622615169835,32.05298013245033,-1.0,1
64,20170419,에듀파트너,997,643,2.0,0.201,953.0,30.099180681328153,18.223760092272205,641.0,1
65,20170420,에듀파트너,1025,1213,28.0,2.8084,1005.6666666666666,16.622086358425676,3.5175879396984926,570.0,1
66,20170421,에듀파트너,1030,92,5.0,0.4878,1017.3333333333334,7.0304302203567675,0.802407221664995,-1121.0,0
67,20170424,에듀파트너,1005,1203,-25.0,-2.4272,1020.0,1.5909844216108717,0.4878048780487805,1111.0,0
68,20170425,에듀파트너,1030,2002,25.0,2.4876,1021.6666666666666,0.5897771952817824,0.48543689320388345,799.0,0
69,20170426,에듀파트너,1035,13,5.0,0.4854,1023.3333333333334,2.287581699346398,5.970149253731343,-1989.0,1
70,20170427,에듀파트너,1065,2,30.0,2.8986,1043.3333333333333,1.6313213703099474,-1.4563106796116505,-11.0,0
71,20170428,에듀파트너,1015,1017,-50.0,-4.6948,1038.3333333333333,1.6286644951140028,0.4830917874396135,1015.0,0
