,Unnamed: 0,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,vv_ma3_value,vv_ma3_rate,ud_3d,predicted
47,47,20170327,에듀파트너,496,2300,64.0,14.8148,478.0,2.4623803009575917,12.648221343873518,2298.0,767.6666666666665,17615.384615384617,0,Learning Data
48,48,20170328,에듀파트너,570,1,74.0,14.9194,499.33333333333326,18.722786647314962,31.944444444444446,-2299.0,767.6666666666665,45940.0,0,Learning Data
49,49,20170329,에듀파트너,570,1,0.0,0.0,545.3333333333334,19.246861924686197,14.919354838709678,0.0,767.3333333333335,-99.8697351280938,0,Learning Data
50,50,20170330,에듀파트너,570,1,0.0,0.0,570.0,19.826435246996006,14.912280701754383,0.0,1.0,-99.8697351280938,0,Learning Data
51,51,20170331,에듀파트너,655,1,85.0,14.9123,598.3333333333334,14.914425427872846,14.912280701754383,0.0,1.0,-99.86967854039965,0,Learning Data
52,52,20170403,에듀파트너,655,1,0.0,0.0,626.6666666666666,20.643274853801163,32.10526315789474,0.0,1.0,33.33333333333333,0,Learning Data
53,53,20170404,에듀파트너,753,2,98.0,14.9618,687.6666666666665,24.456824512534805,26.106870229007637,1.0,1.3333333333333333,33.33333333333333,0,Learning Data
54,54,20170405,에듀파트너,826,1,73.0,9.6946,744.6666666666665,27.925531914893615,26.106870229007637,-1.0,1.3333333333333333,33.33333333333333,0,Learning Data
55,55,20170406,에듀파트너,826,1,0.0,0.0,801.6666666666665,25.496849248667,24.435590969455514,0.0,1.3333333333333333,0.0,0,Learning Data
56,56,20170407,에듀파트너,937,2,111.0,13.4383,863.0,22.02327663384065,16.585956416464892,1.0,1.3333333333333333,27475.00000000001,0,Learning Data
57,57,20170410,에듀파트너,963,1100,26.0,2.7748,908.6666666666665,13.056133056133065,-0.8474576271186439,1098.0,367.66666666666674,27475.00000000001,0,Learning Data
58,58,20170411,에듀파트너,819,1,-144.0,-14.9533,906.3333333333335,-4.248744689069135,-25.6136606189968,-1099.0,367.66666666666674,27450.0,0,Learning Data
59,59,20170412,에듀파트너,697,1,-122.0,-14.8962,826.3333333333335,-18.818782098312546,-27.622014537902388,0.0,367.33333333333326,-99.728014505893,0,Learning Data
60,60,20170413,에듀파트너,697,1,0.0,0.0,737.6666666666665,-20.96358955498345,-7.814407814407813,0.0,1.0,-99.728014505893,0,Learning Data
61,61,20170414,에듀파트너,755,1,58.0,8.3214,716.3333333333335,-6.454215409439295,24.39024390243902,0.0,1.0,-99.54627949183302,0,Learning Data
62,62,20170417,에듀파트너,867,3,112.0,14.8344,773.0,18.25576140985089,42.754662840746064,2.0,1.6666666666666667,100.0,1,Learning Data
63,63,20170418,에듀파트너,995,2,128.0,14.7636,872.3333333333335,33.038622615169835,32.05298013245033,-1.0,2.0,21500.0,1,Learning Data
64,64,20170419,에듀파트너,997,643,2.0,0.201,953.0,30.099180681328157,18.223760092272205,641.0,216.0,37060.0,1,Learning Data
65,65,20170420,에듀파트너,1025,1213,28.0,2.8084,1005.6666666666665,16.622086358425676,3.5175879396984926,570.0,619.3333333333334,32366.66666666667,1,Learning Data
66,66,20170421,에듀파트너,1030,92,5.0,0.4878,1017.3333333333335,7.030430220356768,0.802407221664995,-1121.0,649.3333333333334,287.037037037037,0,Learning Data
67,67,20170424,에듀파트너,1005,1203,-25.0,-2.4272,1020.0,1.5909844216108715,0.4878048780487805,1111.0,836.0,77.44886975242194,0,Learning Data
